model,n_total,subcritical_n,subcritical_pct,subcritical_mean_dp,suprathreshold_n,suprathreshold_pct,suprathreshold_mean_dp,misleading_n,misleading_pct,misleading_mean_dp
LLaMA-3-8B,920,231,25.108695652173914,0.1972536699066415,406,44.130434782608695,0.6496440784566495,283,30.76086956521739,-0.28834193009300496
LLaMA-3-3B,940,297,31.595744680851062,0.15464404148951924,272,28.93617021276596,0.5680506332626593,371,39.46808510638298,-0.25469426917559657
Mistral-7B,919,182,19.804134929270948,0.13247023448985196,476,51.79542981501632,0.8354634230077174,261,28.400435255712733,-0.44515724452010785
Phi-3,920,236,25.652173913043477,0.07021084385871529,60,6.521739130434782,0.4489699252176172,624,67.82608695652173,-0.07601992874360192
